בצל סכנת הכחדה: שלושה גורי ברדלס נולדו באיראן	In the Shadow of Extinction: Three Breeders' Puppies Born in Iran	yes
כך בכל מגזר עם הרבה חתונות בין בני דודים, ייתכן שנמצא שכיחות גבוהה".	So in any sector with a lot of cousin marriages, you might find a high incidence".	no
בהקשר זה יש לציין כי מדובר בממצא חשוב לאור המסקנה החד-משמעית: במקרים שבהם מופיע סיפור משפחתי של מחלת קרטוקונוס, על כל בני המשפחה לגשת לבדיקת עיניים מתאימה בהקדם.	In this context, it should be noted that this is an important finding in light of the unambiguous conclusion: in cases where there is a family history of cartoconus disease, all family members should undergo an appropriate eye examination as soon as possible.	no
לדברי ארזה פרוכטר, אופטומטריסטית קלינית B.Sc, "יש פנייה של פי עשרה לקליניקה מאזורי פריפריה מרוחקים, בעיקר מאזור הדרום, לעומת המרכז".	According to Erza Procter, a clinical optometrist B.Sc., "there is ten times more clinic turnover from remote peripheral areas, mainly from the south, compared to the center".	no
פרוכטר מוסיפה כי "בעשור האחרון שמתי לב שרוב המטופלים פונים מהפריפריה, במיוחד מאזור באר שבע.	Procter adds that "in the last decade I have noticed that most patients are moving from the periphery, especially from the Beersheba area.	no
הדבר נובע בעיקר משכיחות גבוהה של נישואים בתוך המשפחה (בעיקר במגזר הבדואי) ומאלרגיות שונות, וחוסר מודעות לטיפול נכון בבעיה".	This is mainly due to the high prevalence of inter-family marriage (especially in the Bedouin sector) and various allergies, and lack of awareness of proper treatment of the problem".	no
אז איך מאבחנים המחלה?	So how do you diagnose the disease?	no
פרוכטר מסבירה שקרטוקונוס מתפתחת בדרך כלל בגיל ההתבגרות או בשנות העשרה המאוחרות (בגילים 16-15 או 20).	Procter explains that keratoconus usually develops in adolescence or late teens (ages 16-15, or 20).	no
המחלה כוללת ירידה בראייה, במקביל לעלייה בצילינדר.	The disease involves a decrease in vision, parallel to an increase in the cylinder.	no
חולי קרטוקונוס מעידים על ראייה מעוותת ו/או מטושטשת של דמויות ועצמים.	Cartoconus patients have distorted and/or blurred vision of figures and bones.	no
סימנים אלה מחמירים עם ההתפתחות במחלה, שלרוב מתפתחת באופן איטי והדרגתי לאורך שנים.	These signs get worse with the progression of the disease, which often develops slowly and gradually over years.	no
עם זאת, המחלה עשויה גם להתפתח בקצב מהיר ולהגיע לשיאה בתוך חודשים ספורים בלבד.	However, the disease may also progress rapidly and reach a peak in just a few months.	no
רבים מהחולים אף מעידים על רגישות מוגברת לאור.	Many patients even report increased sensitivity to light.	no
כשלוש שנים לאחר הפעולה בעזה - צה"ל חשף את שמו של סא"ל מ'; בנט: "כעת, העם מכיר את פניו של גיבור ישראל"	About three years after the Gaza operation, the IDF revealed the name of General M'Bent: "Now, the people know the face of a hero of Israel"	yes
מחמוד ח'יר א-דין מהכפר חורפיש הוא סגן אלוף שנהרג במבצע בחאן יונס •	Mahmoud Khair-e-Din from Khurfis village is a lieutenant colonel who was killed in action in Khan Yunis.	yes
ראש אמ"ן: "הפרסום מגיע לו, למשפחתו ולילדיו" •	Head of the UN: "He, his family and his children deserve publicity"	yes
בהמשך תיבחן האפשרות לפרסם את תמונתו של סא"ל עמנואל מורנו מסיירת מטכ"ל	Next, we'll consider the possibility of publishing a photo of Colonel Emmanuel Moreno from a patrol of the General Staff.	yes
כשלוש שנים וחצי לאחר הפעולה שהסתבכה בחאן יונס, צה"ל מתיר היום לפרסם כי ההרוג בפעולה, סא"ל מ', הוא סא"ל מחמוד ח'יר א-דין ז"ל מהכפר חורפיש שבצפון.	Three and a half years after the operation that got bogged down in Khan Younis, the IDF today announces that the officer killed in the operation, Corporal M, is Corporal Mahmoud Khair A. Din, Jr. from the village of Khorefis in the north.	yes
בן 41 היה בנופלו.	41 years old was in his fall.	yes
רה"מ בנט אמר לאחר הפרסום: "עברו שלוש וחצי שנים מאז שסגן אלוף מחמוד חיר אל-דין ז"ל נפל בקרב במבצע סודי בחאן יוניס, ורק עכשיו מותר לנו לגלות את שמו ולהודות לו על תרומתו ומסירותו לביטחון המדינה.	Prime Minister Bennett said after the publication: "It has been three and a half years since Lieutenant Colonel Mahmoud Khir al-Din Zillal fell in battle in a secret operation in Khan Yunis, and only now are we allowed to reveal his name and thank him for his contribution and devotion to the security of the state.	yes
‏"מחמוד ז"ל היה לוחם בסיירת צנחנים ואחר כך צמח בשורות הצבא להיות סגן אלוף במערך המבצעים המיוחדים של צה"ל.	"Mahmoud Zell was a paratrooper and later rose through the ranks to become a lieutenant colonel in the IDF Special Operations Command.	yes
גיבור ישראל שעוטר לאחר מותו בצל"ש הרמטכ"ל".	A hero of Israel who was posthumously awarded the title of "Commander-in-Chief".	yes
עוד אמר: "‏ספדתי לו בהלוויתו וכעת יש זכות לעם ישראל להכיר אותו, את שמו ואת פניו של גיבור ישראל, סגן אלוף מחמוד חיר אל-דין, בגלוי.	He also said: "I saved him in his funeral and now the people of Israel have the right to know him, his name and the face of the hero of Israel, Lieutenant General Mahmoud Hair El-Din, openly.	yes
הסביבה נשאה אליו את עיניה.	The environment took its eyes off him.	no
מאז המבצע אסר צה"ל את פרסום שמו משיקולים ביטחוניים, והיום, לאחר דיון שערך ראש אגף המודיעין, אלוף אהרון חליוה, עם נציגי הצנזורה הצבאית, ובהסכמת בני משפחתו, הוחלט לפרסם את שמו ותמונתו.	Since the operation, the IDF has banned the publication of his name for security reasons, and today, after a discussion by the head of the intelligence branch, Major Aaron Haliwa, with representatives of the military censorship, and with the consent of his family, it was decided to publish his name and picture.	no
